"","timestampMs","latitudeE7","longitudeE7","accuracy","Timestamp"
"3014",1536778503073,51.2888238,0.5008498,14,2018-09-12 19:55:03
"3036",1536778701845,51.2888238,0.5008498,14,2018-09-12 19:58:21
"3037",1536778743162,51.2888839,0.500985,14,2018-09-12 19:59:03
"3038",1536778934844,51.2888227,0.500853,14,2018-09-12 20:02:14
"3039",1536779053599,51.2888214,0.5008494,14,2018-09-12 20:04:13
"3063",1536779469933,51.2888936,0.5009945,14,2018-09-12 20:11:09
"3064",1536779516952,51.2888703,0.5009037,14,2018-09-12 20:11:56
"3065",1536779719322,51.2888866,0.5009343,18,2018-09-12 20:15:19
"3066",1536779756061,51.2888866,0.5009343,18,2018-09-12 20:15:56
"3067",1536779913817,51.2888161,0.5008788,14,2018-09-12 20:18:33
"3068",1536780092348,51.2888117,0.5008837,14,2018-09-12 20:21:32
"3069",1536780386463,51.2888926,0.5010061,14,2018-09-12 20:26:26
"3085",1536780687506,51.2888528,0.5008916,14,2018-09-12 20:31:27
"3096",1536780691087,51.2888528,0.5008916,14,2018-09-12 20:31:31
"3097",1536780887627,51.2888528,0.5008916,14,2018-09-12 20:34:47
"3098",1536780942985,51.2888549,0.5009188,15,2018-09-12 20:35:42
"3110",1536780954938,51.2888549,0.5009188,15,2018-09-12 20:35:54
"3174",1536782645482,51.2889024,0.5008573,14,2018-09-12 21:04:05
"3186",1536782672231,51.2889024,0.5008573,14,2018-09-12 21:04:32
"3209",1536782942145,51.2889092,0.5008482,28,2018-09-12 21:09:02
"3220",1536783182278,51.2889092,0.5008482,28,2018-09-12 21:13:02
"3232",1536783458168,51.2889092,0.5008482,28,2018-09-12 21:17:38
"3233",1536783458514,51.2889092,0.5008482,28,2018-09-12 21:17:38
"3234",1536783608113,51.2889092,0.5008482,28,2018-09-12 21:20:08
"3235",1536783913471,51.2889092,0.5008482,28,2018-09-12 21:25:13
"3236",1536784220097,51.2889092,0.5008482,28,2018-09-12 21:30:20
"3239",1536784874277,51.2888579,0.5009304,15,2018-09-12 21:41:14
"3252",1536784877771,51.2888579,0.5009304,15,2018-09-12 21:41:17
"3309",1536785204108,51.2888181,0.5008708,12,2018-09-12 21:46:44
"3310",1536785406118,51.2888181,0.5008708,12,2018-09-12 21:50:06
"3346",1536785699047,51.2888856,0.5009811,14,2018-09-12 21:54:59
"3347",1536785798707,51.2887915,0.5008519,39,2018-09-12 21:56:38
"3348",1536785922479,51.2887915,0.5008519,29,2018-09-12 21:58:42
